run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
11,489,12,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,13,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,14,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,15,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,16,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,17,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,18,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,19,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,20,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,21,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,22,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,23,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,24,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,25,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,26,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,27,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,28,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,29,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,30,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,31,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,32,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,33,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,34,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,35,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,36,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,37,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
